,RIDGE,BOOST,OLS,ENSEMBLE,EW,BTC,MV_OPT,RISK_PARITY_ML,RISK_PARITY_EW,VOL_TARGET_EW,VOL_TARGET_ML
2024-10-02,-0.016278713775919888,0.012497474629056201,-0.017157952944266894,-0.01831241723467813,-0.01757034568981539,-0.0027026774155801,-0.05257592028045005,-0.022258628720202255,-0.014698246592380424,-0.011627739074596157,-0.020204059275472065
2024-10-03,-0.0016748012141466467,0.014805837252226478,-0.00215689972268016,-0.0035678134243333944,-0.007198011076920213,0.0017546845959015,-0.010785114735311548,-0.015252366041969024,-0.012341926594707623,-0.005074236289229626,-0.01206028586719243
2024-10-04,0.033541775648325285,0.02276281048287354,0.036733569504033656,0.030910200133822185,0.042652117016218356,0.0218605052855587,0.07705180491526577,0.060385001072674374,0.07998101338062799,0.029462321537208208,0.0032997390016564596
2024-10-05,-0.0010014519124497182,0.001490078647120275,0.00035240005328341197,0.0015724522461096698,-0.005135068952122644,-0.0003880086950879,0.014757513110485575,-0.0015461245546050896,-0.012733028712820449,-0.0035753096764026193,0.014860973733521155
2024-10-06,0.025266841327534442,0.050492043071429266,0.024615856352089932,0.041240345477047795,0.02792716432762495,0.0121686201423005,0.03370006135774015,0.06222855715874222,0.06194297969039646,0.01989425230709246,0.03421895866327617
2024-10-07,-0.0020833502686879394,0.0290728370100919,-0.0020833502686879394,-0.001987189441367535,-0.008953908622105359,-0.009516342708417,0.02644888446590004,-0.0026569135304778235,0.006866911033794439,-0.006381442289309673,-0.014857664840065407
2024-10-08,-0.0013294276527088637,0.007212225059077109,-0.0013294276527088637,-0.0019613015859433155,-0.005369069104627457,-0.0014272014448741,0.01362234249088819,-0.006216910024341131,-0.0010114236620956873,-0.004042408933158648,-0.010992686899747285
2024-10-09,-0.007183421487989013,-0.008071454123886025,-0.0064634342911241704,-0.007200610246057591,-0.027364157102760373,-0.0247754694989982,-0.018883694600251952,-0.027068916708903525,-0.03976619215736042,-0.020688660404116786,0.004140886753624166
2024-10-10,0.010296755410282629,0.014200427430703029,0.010296755410282629,0.010300868964045862,0.006151765104507237,-0.0051192250929418,0.028191639538792803,0.01568846233800966,0.01789309728471635,0.005438685162571723,0.005722754336486273
2024-10-11,0.0230097453400916,0.05390656452386676,0.0230097453400916,0.022066423546011404,0.04330526516741866,0.036888141352344,0.03844079848038109,0.06628435475888654,0.08115788162022722,0.03723036534131975,0.015123569544646071
2024-10-12,0.021116761970748132,0.031514054175987884,0.02340325545663574,0.012153399663184098,0.019072830792559777,0.0112939824835271,0.03373183949911212,0.04029971106212889,0.045627944965518634,0.016698980295233413,0.014680460483779923
2024-10-14,0.03280657531425277,0.024987779909618084,0.031769289236587894,0.0322559788878464,0.05482741057701636,0.050587401623332,0.09342675616775094,0.0709678401556428,0.07313644629313716,0.04740893965540034,0.04991480359754162
2024-10-15,0.001634389902030891,-0.008027636205949934,0.001634389902030891,0.0021347057506852264,-0.016581647441528072,0.0151087849281055,-0.022049605476519255,-0.027131891871845847,-0.03117475256517575,-0.016228521549172672,-0.01323610410689825
2024-10-16,-0.004252116327824369,0.012299921494596803,-0.00420467806302339,-0.0012708364785278458,-0.006280096501234775,0.0083296427196679,0.015183186215870573,-0.015575498620926501,-0.027358476523971595,-0.00702568138594675,0.008696919566512452
2024-10-17,-0.009683572742875787,-0.0008023293260464234,-0.009683572742875787,-0.007413067767912524,-0.01707810457953467,-0.0031613256462148,-0.02939243288146853,-0.013044994293382108,-0.012214376722491833,-0.014429025452404324,-0.010550809094636432
2024-10-18,0.01315303601206107,0.027123257367429304,0.013858661804287548,0.012871501333212364,0.029379791421871408,0.0152325238505155,0.04321596422579053,0.04030138260629494,0.0428475638581709,0.024996226918224985,0.024117380226897203
2024-10-19,0.0021040682647309964,0.0037448539175590195,0.0021200698326828814,0.0019613043166864207,0.0034978329814007872,-0.0007500815770771,0.03619705369647962,0.004129628088751458,-0.009291135137660288,0.002657809457174195,0.02293880399537844
2024-10-20,0.033559434314651145,0.012887449609403544,0.033327128708779644,0.03254549230563048,0.03787355640473042,0.0095076251057084,0.080057227217809,0.054168595801786686,0.05206468226332883,0.03366280287890694,0.03872860540140782
2024-10-21,0.011106876846004282,0.003175165163153325,0.01115866749335375,0.013966772733472162,-0.026164245467606435,-0.0242107861696905,0.04141573680069887,-0.022017631296480232,-0.04569584515178182,-0.02242809680574863,0.01980909362658949
2024-10-22,-0.004182399759915627,-0.0024840545025883324,-0.0041803083395287235,-0.005285035462990084,-0.0013891683508063702,0.0006858112936207,0.009421242949500301,0.02929371450484837,0.0007664076418833808,-0.0015259729030843397,0.06292019623288228
2024-10-23,-0.009297989544229269,-0.009308179128130048,-0.009016019169737485,-0.009843717151339037,-0.02170506681653455,-0.0118780586943746,0.004638520182125107,-0.03631799652747312,-0.031996785881553136,-0.021197100383040766,-0.02551371178134341
2024-10-24,0.016343335483307426,0.02458372757150368,0.016343335483307426,0.01862991802313717,0.018518675716395688,0.0235703392235464,0.070921852245467,0.034872402033684934,0.035087721694941766,0.017410272565885208,0.027205708712862074
2024-10-25,0.017402008921147613,0.011110889755515004,0.016503729434730413,0.01962181347125616,-0.06658443587444397,-0.0228265695811521,0.014060940124888122,-0.0836813514664933,-0.10276682396849479,-0.06026571631439323,-0.034911189326273205
2024-10-26,-0.0038687694092207348,0.01221356149497345,-0.0038687694092207348,-0.0036691850459082825,0.016596035139558474,0.0062569607142419,0.018071343254723645,0.013519231532476327,0.022201825054606092,0.013239448941053323,-0.006104805706777961
2024-10-27,-0.016265761098247917,0.00788867322824141,-0.015430274540156073,-0.017372526956474267,0.013837832098552477,0.0139522638511206,0.006108976942050415,0.020514559959679893,0.027995811106543263,0.014053641491016887,0.0004523266793263007
